Fecha,Extorsion,HomicidioCulp,HomicidioDolo,Lesiones,RoboCasa,RoboNegocio,RoboSinViol,RoboVehi,RoboViol,Secuestro,Poblacion
1/31/2011,308,677,847,8097,7985,6091,8496,18371,5774,93,96135467.61
2/28/2011,298,524,760,8150,7369,5722,8459,17078,5684,84,96135467.61
3/31/2011,360,579,887,9335,8451,6137,10284,18857,6410,96,96135467.61
4/30/2011,282,621,925,8488,7675,5682,8825,16120,5628,92,96135467.61
5/31/2011,359,602,1047,9451,7871,5915,9373,17549,6010,98,96135467.61
6/30/2011,357,568,983,8477,7825,5923,9604,16523,5843,94,96135467.61
7/31/2011,311,570,979,7821,7832,5700,9934,17166,5925,77,96135467.61
8/31/2011,308,642,1022,8353,8594,6054,9944,17186,6095,100,96135467.61
9/30/2011,336,575,887,8055,8387,5992,9334,16603,6221,93,96135467.61
10/31/2011,340,619,934,8011,7913,5422,9074,16110,5746,97,96135467.61
11/30/2011,347,569,816,7726,7595,5608,8695,15823,5647,59,96135467.61
12/31/2011,335,674,795,7166,7125,5228,8563,15912,5130,90,96135467.61
1/31/2012,409,589,917,7170,8072,5403,9445,15703,5303,89,97286353.43
2/29/2012,440,629,968,7347,7531,5409,9278,14744,5403,87,97286353.43
3/31/2012,459,611,1019,8673,7937,5522,10041,15919,5704,98,97286353.43
4/30/2012,440,579,1004,8289,7756,5024,9119,14546,4888,85,97286353.43
5/31/2012,488,640,1142,8571,7827,5173,9998,15021,5390,104,97286353.43
6/30/2012,518,621,1032,8460,7359,4805,9304,13701,4821,75,97286353.43
7/31/2012,463,554,1046,8252,7853,5004,8987,14343,5308,77,97286353.43
8/31/2012,541,599,1077,7738,8198,5487,9167,14478,5336,91,97286353.43
9/30/2012,484,614,1108,8097,7793,4972,9162,14079,4920,81,97286353.43
10/31/2012,514,658,944,7664,8329,5283,9074,14562,4968,103,97286353.43
11/30/2012,479,637,939,7280,7955,5374,8238,13950,4826,113,97286353.43
12/31/2012,449,764,908,7533,7129,4731,7917,13844,4731,83,97286353.43
1/31/2013,481,765,908,7175,8281,5395,8365,14869,5081,106,98411992.73
2/28/2013,468,718,839,7252,6936,4954,7855,13281,4644,83,98411992.73
3/31/2013,516,803,943,7945,7724,5229,7954,13581,4717,117,98411992.73
4/30/2013,596,709,964,8533,8488,5381,8495,13119,5160,120,98411992.73
5/31/2013,651,736,967,8529,8327,5249,8865,13356,4531,109,98411992.73
6/30/2013,571,649,907,8222,7747,4921,7958,12276,4723,119,98411992.73
7/31/2013,633,622,863,7771,8370,5546,9336,12656,5545,128,98411992.73
8/31/2013,523,689,818,8092,8478,5579,10150,13337,6292,123,98411992.73
9/30/2013,591,714,831,7810,7756,5461,8992,12129,5073,116,98411992.73
10/31/2013,565,709,835,8296,8097,5724,9450,12968,5330,127,98411992.73
11/30/2013,531,644,779,7260,7219,5338,8265,12547,5008,114,98411992.73
12/31/2013,478,997,830,7620,7001,5251,7798,12448,4611,95,98411992.73
1/31/2014,478,826,777,7322,7436,5281,9106,13011,4607,105,99518384.07
2/28/2014,458,781,712,7806,6823,5248,9060,11808,4303,122,99518384.07
3/31/2014,504,770,820,8876,7146,5273,9825,12390,4681,115,99518384.07
4/30/2014,520,832,779,8666,7118,5083,9543,11258,4549,110,99518384.07
5/31/2014,433,851,811,8192,6893,4910,9381,11598,4655,110,99518384.07
6/30/2014,379,777,691,8800,6616,4713,9609,10956,4436,88,99518384.07
7/31/2014,349,770,667,7992,7208,5398,9540,11598,4299,83,99518384.07
8/31/2014,345,768,721,8213,7179,5339,9420,11347,4743,96,99518384.07
9/30/2014,366,777,702,8304,7154,5330,9199,11083,4653,82,99518384.07
10/31/2014,406,806,741,8229,7034,5575,9503,11838,4699,79,99518384.07
11/30/2014,311,721,699,7124,6050,4661,8393,10859,4151,81,99518384.07
12/31/2014,318,918,712,7192,6225,4767,8248,10846,3977,61,99518384.07
1/31/2015,600,2065,1911,18794,13520,10489,21238,23062,10892,155,200803344.1
2/28/2015,809,2018,1930,19669,12065,9686,21148,21474,10889,179,200803344.1
3/31/2015,732,2015,1999,21490,12945,10195,22808,23133,11762,139,200803344.1
4/30/2015,794,2078,2133,22549,12888,10088,20542,21051,11334,141,200803344.1
5/31/2015,740,2211,2197,23040,12618,9934,21968,21527,11507,171,200803344.1
6/30/2015,727,1819,2196,22417,13055,9638,21478,22034,11565,192,200803344.1
7/31/2015,746,2017,2204,21408,13424,9991,21662,21686,11217,138,200803344.1
8/31/2015,633,1972,2418,21162,13383,10180,21145,22420,11282,101,200803344.1
9/30/2015,644,1895,2215,21608,13496,10311,20852,22904,11378,135,200803344.1
10/31/2015,740,2034,2164,22073,13017,10347,22029,23441,11586,139,200803344.1
11/30/2015,647,1913,2190,20062,12629,9811,20341,23367,11193,148,200803344.1
12/31/2015,640,2226,2234,19927,12579,9141,20178,22196,11106,172,200803344.1
1/31/2016,310,1040,1256,10074,6249,4654,11037,11048,6134,63,101667564.5
2/29/2016,320,1052,1297,11174,5895,4786,11157,11419,6379,69,101667564.5
3/31/2016,329,1117,1345,11854,6223,5207,11760,11845,6933,77,101667564.5
4/30/2016,337,1039,1313,12813,6379,5176,11946,11211,7137,81,101667564.5
5/31/2016,302,1125,1500,13708,6158,5123,11928,11603,7279,72,101667564.5
6/30/2016,395,1022,1438,13811,6521,5748,14020,11367,7311,75,101667564.5
7/31/2016,409,1061,1595,12979,6724,5679,14805,11780,7700,91,101667564.5
8/31/2016,409,1113,1615,13159,6946,6326,15701,12325,7644,67,101667564.5
9/30/2016,355,988,1671,13889,6792,6458,14886,12433,8035,75,101667564.5
10/31/2016,421,1087,1627,14147,7233,6930,15763,12861,8135,95,101667564.5
11/30/2016,381,1051,1601,12874,6789,6758,15099,12679,8147,103,101667564.5
12/31/2016,446,1222,1590,13170,6715,7168,14940,13122,8217,89,101667564.5
1/31/2017,454,1220,1707,12855,6945,8086,15004,13905,9512,82,102713036
2/28/2017,396,1034,1600,11934,6013,7039,14144,12917,8124,75,102713036
